iter	Passed	Remaining
0	0	705
1	1	660
2	1	640
3	2	674
4	3	654
5	4	667
6	4	695
7	5	691
8	6	702
9	7	698
10	7	684
11	8	675
12	8	669
13	9	665
14	10	667
15	10	660
16	11	662
17	12	671
18	13	684
19	14	688
20	14	685
21	15	680
22	15	674
23	16	669
24	17	663
25	17	656
26	18	652
27	18	649
28	19	644
29	19	640
30	20	636
31	20	633
32	21	629
33	22	625
34	22	622
35	23	618
36	23	615
37	24	611
38	24	608
39	25	604
40	25	600
41	26	596
42	26	594
43	27	590
44	27	592
45	28	593
46	29	590
47	29	590
48	30	590
49	31	589
50	31	588
51	32	587
52	32	585
53	33	585
54	33	584
55	34	582
56	35	581
57	35	581
58	36	580
59	36	579
60	37	577
61	38	575
62	38	573
63	39	573
64	39	573
65	40	575
66	41	574
67	41	573
68	42	572
69	42	571
70	43	570
71	44	568
72	44	568
73	45	567
74	45	564
75	46	562
76	46	561
77	47	559
78	48	559
79	48	556
80	48	555
81	49	555
82	50	556
83	51	556
84	51	555
85	52	558
86	53	557
87	53	556
88	54	556
89	54	555
90	55	555
91	56	554
92	56	553
93	57	553
94	58	553
95	58	551
96	59	551
97	59	549
98	60	548
99	61	549
100	61	548
101	62	547
102	62	547
103	63	547
104	64	547
105	64	548
106	65	550
107	66	551
108	67	551
109	68	552
110	69	552
111	69	553
112	70	555
113	71	555
114	72	554
115	72	553
116	73	552
117	74	554
118	75	557
119	76	558
120	76	558
121	77	558
122	78	558
123	79	559
124	79	559
125	80	560
126	81	561
127	82	561
128	83	561
129	83	561
130	84	562
131	85	563
132	86	563
133	87	563
134	87	563
135	88	560
136	89	561
137	89	562
138	90	562
139	91	562
140	92	561
141	92	561
142	93	561
143	94	560
144	95	560
145	95	560
146	96	560
147	97	560
148	97	558
149	98	558
150	99	559
151	100	558
152	100	557
153	101	557
154	102	556
155	102	555
156	103	554
157	103	553
158	104	553
159	105	552
160	105	551
161	106	551
162	107	550
163	108	550
164	108	550
165	109	550
166	110	550
167	111	549
168	111	549
169	112	548
170	113	548
171	113	548
172	114	548
173	115	547
174	116	546
175	116	546
176	117	545
177	118	544
178	118	544
179	119	543
180	120	543
181	120	542
182	121	542
183	122	541
184	122	541
185	123	540
186	124	539
187	124	538
188	125	538
189	125	537
190	126	536
191	127	535
192	128	535
193	128	534
194	129	534
195	130	533
196	130	533
197	131	532
198	132	532
199	132	531
200	133	530
201	134	529
202	134	529
203	135	528
204	135	527
205	136	526
206	137	525
207	137	524
208	138	523
209	138	522
210	139	522
211	140	521
212	141	521
213	141	520
214	142	520
215	143	519
216	143	519
217	144	518
218	145	517
219	145	516
220	146	515
221	146	514
222	147	514
223	148	513
224	148	512
225	149	511
226	149	510
227	150	509
228	151	508
229	151	507
230	152	506
231	152	505
232	153	504
233	153	504
234	154	503
235	155	502
236	155	501
237	156	500
238	156	499
239	157	498
240	157	497
241	158	495
242	158	494
243	159	493
244	159	492
245	160	491
246	160	490
247	161	489
248	162	489
249	162	488
250	163	487
251	163	486
252	164	485
253	165	484
254	165	484
255	166	483
256	166	482
257	167	481
258	168	480
259	168	479
260	169	479
261	169	478
262	170	477
263	171	476
264	171	476
265	172	475
266	172	474
267	173	473
268	173	472
269	174	471
270	175	471
271	175	470
272	176	469
273	176	468
274	177	467
275	177	466
276	178	466
277	179	465
278	179	464
279	180	463
280	180	462
281	181	461
282	181	460
283	182	460
284	183	459
285	183	458
286	184	457
287	184	456
288	185	456
289	186	455
290	186	455
291	187	454
292	188	454
293	189	453
294	189	453
295	190	452
296	190	451
297	191	451
298	192	450
299	192	450
300	193	449
301	194	448
302	194	448
303	195	447
304	196	447
305	196	446
306	197	445
307	197	444
308	198	443
309	199	443
310	199	442
311	200	441
312	201	441
313	201	440
314	202	440
315	203	439
316	203	438
317	204	437
318	204	437
319	205	436
320	205	435
321	206	434
322	207	433
323	207	433
324	208	432
325	208	431
326	209	430
327	210	430
328	210	429
329	211	428
330	211	428
331	212	427
332	213	426
333	213	426
334	214	425
335	214	424
336	215	423
337	216	423
338	216	422
339	217	421
340	217	421
341	218	420
342	218	419
343	219	418
344	220	418
345	220	417
346	221	416
347	221	415
348	222	414
349	223	414
350	223	413
351	224	412
352	224	411
353	225	411
354	225	410
355	226	409
356	227	409
357	227	408
358	228	407
359	228	406
360	229	406
361	230	405
362	230	404
363	231	404
364	231	403
365	232	402
366	233	401
367	233	401
368	234	400
369	234	399
370	235	399
371	235	398
372	236	397
373	237	396
374	237	396
375	238	394
376	238	394
377	239	393
378	239	392
379	240	392
380	240	391
381	241	390
382	241	389
383	242	388
384	242	387
385	243	387
386	244	386
387	244	385
388	245	385
389	245	384
390	246	383
391	246	382
392	247	381
393	247	381
394	248	380
395	248	379
396	249	378
397	249	377
398	250	377
399	250	376
400	251	375
401	252	375
402	252	374
403	253	374
404	254	373
405	254	373
406	255	372
407	256	371
408	256	371
409	257	370
410	258	370
411	259	369
412	259	369
413	260	368
414	261	368
415	261	367
416	262	366
417	262	365
418	263	365
419	263	364
420	264	363
421	265	363
422	266	362
423	266	362
424	267	361
425	267	360
426	268	360
427	268	359
428	269	358
429	270	358
430	270	357
431	271	357
432	272	356
433	272	355
434	273	355
435	274	354
436	274	353
437	275	353
438	275	352
439	276	352
440	277	351
441	277	350
442	278	350
443	279	349
444	279	349
445	280	348
446	281	347
447	281	347
448	282	346
449	283	346
450	283	345
451	284	344
452	285	344
453	285	343
454	286	343
455	287	342
456	287	342
457	288	341
458	289	340
459	289	340
460	290	339
461	291	338
462	291	338
463	292	337
464	292	337
465	293	336
466	294	335
467	294	334
468	295	334
469	296	333
470	296	333
471	297	332
472	298	332
473	298	331
474	299	330
475	299	330
476	300	329
477	301	329
478	301	328
479	302	327
480	303	327
481	303	326
482	304	325
483	305	325
484	305	324
485	306	324
486	307	323
487	307	323
488	308	322
489	309	321
490	309	321
491	310	320
492	311	319
493	311	319
494	312	318
495	313	318
496	313	317
497	314	316
498	314	316
499	315	315
500	316	314
501	316	314
502	317	313
503	317	312
504	318	312
505	319	311
506	319	310
507	320	310
508	321	309
509	321	309
510	322	308
511	322	307
512	323	307
513	324	306
514	324	305
515	325	305
516	325	304
517	326	303
518	327	303
519	327	302
520	328	301
521	328	301
522	329	300
523	329	299
524	330	298
525	330	298
526	331	297
527	331	296
528	332	296
529	332	295
530	333	294
531	333	293
532	334	293
533	334	292
534	335	291
535	335	290
536	336	290
537	336	289
538	337	288
539	338	288
540	338	287
541	339	286
542	339	286
543	340	285
544	341	284
545	341	284
546	342	283
547	342	282
548	343	282
549	344	281
550	344	280
551	345	280
552	345	279
553	346	278
554	346	278
555	347	277
556	347	276
557	348	276
558	349	275
559	349	274
560	350	274
561	350	273
562	351	272
563	351	272
564	352	271
565	353	270
566	353	270
567	354	269
568	354	268
569	355	268
570	356	267
571	356	266
572	357	266
573	357	265
574	358	264
575	359	264
576	359	263
577	360	262
578	360	262
579	361	261
580	361	260
581	362	260
582	363	259
583	363	258
584	364	258
585	364	257
586	364	256
587	365	256
588	365	255
589	366	254
590	366	253
591	367	253
592	367	252
593	368	251
594	368	250
595	369	250
596	369	249
597	370	248
598	370	248
599	371	247
600	371	246
601	372	246
602	372	245
603	373	244
604	374	244
605	375	243
606	376	243
607	376	242
608	377	242
609	377	241
610	378	240
611	378	240
612	379	239
613	379	238
614	380	238
615	380	237
616	381	236
617	382	236
618	382	235
619	383	234
620	383	234
621	384	233
622	384	232
623	385	232
624	386	231
625	386	230
626	387	230
627	387	229
628	388	229
629	388	228
630	389	227
631	390	227
632	390	226
633	391	225
634	391	225
635	392	224
636	393	223
637	393	223
638	394	222
639	394	222
640	395	221
641	395	220
642	396	220
643	397	219
644	397	218
645	398	218
646	398	217
647	399	216
648	399	216
649	400	215
650	400	214
651	401	214
652	402	213
653	402	213
654	403	212
655	403	211
656	404	211
657	404	210
658	405	209
659	406	209
660	406	208
661	407	207
662	407	207
663	408	206
664	408	205
665	409	205
666	409	204
667	410	203
668	410	203
669	411	202
670	411	201
671	411	201
672	412	200
673	412	199
674	413	199
675	413	198
676	414	197
677	414	196
678	415	196
679	415	195
680	416	195
681	416	194
682	417	193
683	418	193
684	418	192
685	419	191
686	419	191
687	420	190
688	421	190
689	421	189
690	422	188
691	422	188
692	423	187
693	423	186
694	424	186
695	425	185
696	425	185
697	426	184
698	426	183
699	427	183
700	428	182
701	428	181
702	429	181
703	429	180
704	430	180
705	430	179
706	431	178
707	432	178
708	432	177
