iter	Passed	Remaining
0	1	1325
1	2	1016
2	3	1050
3	4	1157
4	7	1393
5	8	1435
6	10	1462
7	11	1384
8	11	1317
9	12	1275
10	13	1250
11	15	1260
12	16	1223
13	17	1212
14	18	1247
15	20	1275
16	22	1279
17	22	1252
18	23	1228
19	24	1208
20	25	1189
21	26	1184
22	27	1163
23	28	1146
24	28	1124
25	29	1112
26	30	1089
27	30	1068
28	31	1060
29	32	1054
30	33	1056
31	34	1045
32	35	1030
33	35	1015
34	36	1001
35	36	987
36	37	975
37	38	962
38	38	949
39	39	937
40	39	925
41	40	913
42	40	903
43	41	893
44	41	885
45	42	876
46	42	868
47	43	860
48	44	856
49	44	847
50	45	839
51	45	831
52	46	823
53	46	816
54	47	818
55	48	820
56	49	823
57	51	830
58	51	825
59	52	829
60	53	822
61	53	816
62	54	811
63	55	811
64	56	805
65	56	800
66	57	795
67	57	790
68	58	785
69	58	781
70	59	776
71	59	771
72	60	768
73	61	767
74	62	765
75	62	765
76	63	765
77	64	765
78	65	762
79	65	757
80	66	754
81	67	753
82	67	747
83	68	743
84	68	739
85	69	735
86	69	731
87	70	731
88	71	727
89	71	723
90	72	721
91	72	719
92	73	716
93	74	713
94	74	710
95	75	706
96	75	705
97	76	705
98	77	703
99	78	702
100	78	702
101	79	701
102	80	698
103	80	695
104	81	692
105	81	689
106	82	686
107	82	685
108	83	681
109	84	679
110	84	678
111	85	676
112	85	674
113	86	672
114	87	669
115	87	667
116	87	663
117	88	661
118	89	659
119	89	657
120	90	660
121	91	657
122	92	657
123	92	654
124	93	652
125	93	649
126	94	648
127	94	646
128	95	643
129	95	641
130	96	639
131	97	638
132	97	636
133	98	634
134	98	631
135	99	629
136	99	627
137	100	625
138	100	623
139	101	621
140	101	619
141	102	616
142	102	615
143	103	614
144	103	612
145	104	610
146	105	610
147	106	611
148	107	613
149	108	613
150	108	612
151	109	610
152	109	608
153	110	606
154	110	604
155	111	604
156	112	602
157	112	600
158	113	599
159	114	598
160	114	595
161	114	594
162	115	592
163	115	590
164	116	589
165	116	587
166	117	586
167	118	586
168	119	586
169	120	586
170	120	585
171	121	583
172	121	582
173	122	580
174	122	578
175	123	578
176	124	576
177	124	574
178	125	574
179	125	572
180	126	571
181	126	569
182	127	568
183	127	566
184	128	565
185	128	563
186	129	562
187	129	560
188	130	559
189	132	564
190	133	564
191	134	566
192	136	569
193	136	569
194	137	568
195	138	567
196	138	566
197	139	565
198	140	564
199	140	563
200	141	562
201	142	561
202	142	560
203	143	559
204	144	559
205	145	558
206	145	558
207	146	559
208	147	559
209	148	559
210	149	559
211	150	558
212	151	558
213	152	559
214	153	561
215	154	561
216	155	561
217	156	560
218	156	559
219	157	559
220	158	558
221	159	558
222	160	557
223	160	557
224	161	556
225	162	556
226	163	555
227	164	555
228	164	554
229	165	554
230	166	553
231	167	553
232	168	553
233	168	552
234	169	553
235	170	552
236	171	552
237	172	552
238	173	551
239	174	551
240	175	552
241	177	556
242	179	557
243	179	557
244	180	556
245	181	556
246	182	555
247	183	555
248	183	553
249	184	552
250	184	552
251	185	551
252	186	551
253	187	550
254	188	550
255	189	550
256	190	550
257	191	550
258	192	550
259	193	550
260	194	550
261	195	551
262	198	555
263	199	556
264	200	556
265	202	557
266	203	557
267	204	558
268	205	557
269	206	557
270	206	556
271	207	555
272	208	553
273	208	552
274	209	551
275	209	550
276	210	549
277	211	548
278	212	547
279	212	547
280	213	546
281	216	552
282	219	555
283	221	558
284	223	560
285	224	560
286	225	559
287	225	558
288	226	557
289	227	556
